date,value
2011-10-01,209.0
2011-11-01,137.0
2011-12-01,198.0
2012-01-01,358.0
2012-02-01,263.0
2012-03-01,239.0
2012-04-01,77.0
2012-05-01,107.0
2012-06-01,81.0
2012-07-01,144.0
2012-08-01,182.0
2012-09-01,178.0
2012-10-01,152.0
2012-11-01,156.0
2012-12-01,249.0
2013-01-01,183.0
2013-02-01,289.0
2013-03-01,143.0
2013-04-01,184.0
2013-05-01,223.0
2013-06-01,183.0
2013-07-01,112.0
2013-08-01,255.0
2013-09-01,175.0
2013-10-01,220.0
2013-11-01,276.0
2013-12-01,55.0
2014-01-01,189.0
2014-02-01,151.0
2014-03-01,273.0
2014-04-01,313.0
2014-05-01,215.0
2014-06-01,336.0
2014-07-01,223.0
2014-08-01,197.0
2014-09-01,294.0
2014-10-01,235.0
2014-11-01,291.0
2014-12-01,275.0
2015-01-01,204.0
2015-02-01,259.0
2015-03-01,96.0
2015-04-01,273.0
2015-05-01,342.0
2015-06-01,171.0
2015-07-01,282.0
2015-08-01,134.0
2015-09-01,150.0
2015-10-01,304.0
2015-11-01,229.0
2015-12-01,269.0
2016-01-01,133.0
2016-02-01,196.0
2016-03-01,256.0
2016-04-01,192.0
2016-05-01,46.0
2016-06-01,247.0
2016-07-01,373.0
2016-08-01,141.0
2016-09-01,306.0
2016-10-01,98.0
2016-11-01,118.0
2016-12-01,225.0
2017-01-01,220.0
2017-02-01,218.0
2017-03-01,124.0
2017-04-01,205.0
2017-05-01,205.0
2017-06-01,203.0
2017-07-01,189.0
2017-08-01,147.0
2017-09-01,89.0
2017-10-01,141.0
2017-11-01,223.0
2017-12-01,151.0
2018-01-01,137.0
2018-02-01,394.0
2018-03-01,226.0
2018-04-01,140.0
2018-05-01,322.0
2018-06-01,218.0
2018-07-01,60.0
2018-08-01,257.0
2018-09-01,81.0
2018-10-01,169.0
2018-11-01,90.0
2018-12-01,192.0
2019-01-01,251.0
2019-02-01,7.0
2019-03-01,228.0
2019-04-01,296.0
2019-05-01,27.0
2019-06-01,220.0
2019-07-01,99.0
2019-08-01,232.0
2019-09-01,196.0
2019-10-01,95.0
2019-11-01,207.0
2019-12-01,127.0
2020-01-01,237.0
2020-02-01,262.0
2020-03-01,-1398.0
2020-04-01,-20469.0
2020-05-01,2614.0
2020-06-01,4631.0
2020-07-01,1584.0
2020-08-01,1566.0
2020-09-01,949.0
2020-10-01,690.0
2020-11-01,273.0
2020-12-01,-185.0
2021-01-01,315.0
2021-02-01,517.0
2021-03-01,852.0
2021-04-01,355.0
2021-05-01,478.0
2021-06-01,755.0
2021-07-01,942.0
2021-08-01,552.0
2021-09-01,457.0
2021-10-01,801.0
2021-11-01,658.0
2021-12-01,586.0
2022-01-01,190.0
2022-02-01,819.0
2022-03-01,490.0
2022-04-01,308.0
2022-05-01,301.0
2022-06-01,434.0
2022-07-01,714.0
2022-08-01,290.0
2022-09-01,220.0
2022-10-01,357.0
2022-11-01,303.0
2022-12-01,100.0
2023-01-01,434.0
2023-02-01,290.0
2023-03-01,68.0
2023-04-01,241.0
2023-05-01,280.0
2023-06-01,225.0
2023-07-01,163.0
2023-08-01,218.0
2023-09-01,156.0
2023-10-01,159.0
2023-11-01,127.0
2023-12-01,154.0
2024-01-01,175.0
2024-02-01,206.0
2024-03-01,228.0
2024-04-01,64.0
2024-05-01,78.0
2024-06-01,87.0
2024-07-01,53.0
2024-08-01,9.0
2024-09-01,155.0
2024-10-01,33.0
2024-11-01,134.0
2024-12-01,237.0
2025-01-01,-48.0
2025-02-01,42.0
2025-03-01,67.0
2025-04-01,108.0
2025-05-01,13.0
2025-06-01,-20.0
2025-07-01,64.0
2025-08-01,-70.0
2025-09-01,76.0
2025-10-01,-140.0
2025-11-01,41.0
2025-12-01,-17.0
2026-01-01,160.0
2026-02-01,-156.0
2026-03-01,214.0
2026-04-01,148.0
2026-05-01,63.0
2026-06-01,31.0
2026-07-01,21.0
2026-08-01,162.0
